Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
D2,1920,2019-12-14,St Pauli,Wehen,H,D,4.0,0.05347277956576102,0.26336819489144025,0.2599391958837671,0.0,0.03975678353506851,-1.0,-1.053,-1.0,False
D2,1920,2020-02-02,Heidenheim,Dresden,D,D,3.8,0.0341112490355695,0.27213453921988673,0.28706527895148903,1.0,0.09084806001565826,2.8,2.747,2.772,False
D2,1920,2020-02-14,Heidenheim,Nurnberg,D,D,3.6,0.058728005523692506,0.2940911126454701,0.28034604808074937,1.0,0.00924577309069785,2.6,2.547,2.574,False
D2,1920,2020-02-16,Karlsruhe,Osnabruck,D,D,3.5,0.035158999131529534,0.29575971403757984,0.29808026284350486,1.0,0.043280919952267016,2.5,2.447,2.475,False
D2,1920,2020-02-21,Osnabruck,Erzgebirge Aue,D,D,3.6,0.04295238445153826,0.28970899568098285,0.2892660455815177,1.0,0.0413577640934637,2.6,2.547,2.574,False
D2,1920,2020-02-23,Sandhausen,Karlsruhe,A,D,3.6,0.06788848692757332,0.2966356908132148,0.289528443904658,0.0,0.04230239805676872,-1.0,-1.053,-1.0,False
D2,1920,2020-06-03,Hannover,Dresden,H,D,4.0,0.03910370230225246,0.2597759255755631,0.23497908932417552,0.0,-0.06008364270329791,-1.0,-1.053,-1.0,False
D2,1920,2020-06-14,Karlsruhe,Stuttgart,H,D,4.2,0.04689088843520639,0.2492597353417158,0.2499174434067667,0.0,0.04965326230842004,-1.0,-1.053,-1.0,False
D2,2021,2020-10-24,Holstein Kiel,Greuther Furth,A,D,3.5,0.031939679767395424,0.2948399085049701,0.26640812542439646,0.0,-0.06757156101461237,-1.0,-1.053,-1.0,False
D2,2021,2020-10-31,Paderborn,Regensburg,H,D,3.6,0.048317326877808986,0.29119925746605807,0.26099406013966747,0.0,-0.060421383497197056,-1.0,-1.053,-1.0,False
D2,2021,2020-12-15,Hannover,Bochum,H,D,3.5,0.040009804522850745,0.2971456584351002,0.2837554819219047,0.0,-0.006855813273333622,-1.0,-1.053,-1.0,False
D2,2021,2021-01-31,Sandhausen,Nurnberg,H,D,3.5,0.03906134397962724,0.29687466970846493,0.3013088097179911,0.0,0.05458083401296898,-1.0,-1.053,-1.0,False
D2,2021,2021-05-23,Bochum,Sandhausen,H,D,4.2,0.06712364674526272,0.25407705874887204,0.24463312218854105,0.0,0.027459113191872442,-1.0,-1.053,-1.0,False
D2,2122,2021-07-24,Darmstadt,Regensburg,A,D,3.6,0.0904032467593201,0.3028897907664778,0.29619970851327837,0.0,0.06631895064780213,-1.0,-1.053,-1.0,False
D2,2122,2022-03-11,Darmstadt,Sandhausen,D,D,5.0,0.034454307324021105,0.2068908614648042,0.24318626566855409,1.0,0.2159313283427704,4.0,3.947,3.96,False
D2,2122,2022-05-15,Werder Bremen,Regensburg,H,D,7.5,0.06575408756538126,0.1421005450087175,0.1405057217596364,0.0,0.053792913197272973,-1.0,-1.053,-1.0,False
D2,2223,2022-08-12,Nurnberg,Heidenheim,A,D,3.75,0.03227433685320835,0.2752731564941889,0.26769968039161346,0.0,0.0038738014685504307,-1.0,-1.053,-1.0,False
D2,2223,2023-01-29,Bielefeld,Sandhausen,A,D,3.8,0.03587688067008954,0.2725991791237078,0.28647440374300087,0.0,0.08860273422340326,-1.0,-1.053,-1.0,False
D2,2324,2024-03-30,Kaiserslautern,Fortuna Dusseldorf,A,D,3.75,0.035614627452752456,0.2761639006540673,0.28264431159612075,0.0,0.05991616848545278,-1.0,-1.053,-1.0,False
SP1,1920,2020-03-07,Ath Madrid,Sevilla,D,D,3.4,0.03211170244695616,0.30356226542557535,0.31388613477360017,1.0,0.06721285823024048,2.4,2.347,2.376,False
SP1,1920,2020-07-19,Leganes,Real Madrid,D,D,3.8,0.03365481846417051,0.27201442591162384,0.24743372896791715,1.0,-0.059751829921914856,2.8,2.747,2.772,False
SP1,1920,2020-07-19,Levante,Getafe,H,D,3.8,0.07256382545173534,0.28225363827677247,0.20471925464002433,0.0,-0.22206683236790759,-1.0,-1.053,-1.0,False
SP1,2021,2020-09-27,Cadiz,Sevilla,A,D,3.6,0.03784094405924132,0.28828915112756703,0.2793354328465901,0.0,0.005607558247724409,-1.0,-1.053,-1.0,False
SP1,2021,2021-05-16,Barcelona,Celta,A,D,7.5,0.04761429482598545,0.13968190597679805,0.1284245121842552,0.0,-0.03681615861808596,-1.0,-1.053,-1.0,False
SP1,2021,2021-05-22,Eibar,Barcelona,A,D,4.75,0.04401057788569562,0.21979170060751485,0.19938849887471935,0.0,-0.05290463034508308,-1.0,-1.053,-1.0,False
SP1,2122,2021-09-26,Barcelona,Levante,H,D,5.5,0.043452344378319685,0.1897186080687854,0.2089003718759689,0.0,0.14895204531782902,-1.0,-1.053,-1.0,False
